pc_time,boot_id,time_ms,epoch_ms,time_valid,time_str,state,candidate,event,acc,gyro,acc_std,gyro_std,pitch,roll,state_duration_ms,rest_like_ms
2026-05-21 14:55:04,a0eefcff,32715,1779346512516,1,2026-05-21 14:55:12,REST,REST,NONE,0.992,2.19,0.0,0.18,-0.9,-0.9,18060,12040
2026-05-21 14:55:31,a0eefcff,59814,1779346539614,1,2026-05-21 14:55:39,REST,RUN,SHAKE,2.936,374.51,0.252,78.12,18.4,35.7,45150,0
2026-05-21 14:55:34,a0eefcff,62824,1779346542625,1,2026-05-21 14:55:42,REST,PLAY,SHAKE,1.151,543.34,0.865,161.91,9.2,6.2,48160,0
2026-05-21 14:55:38,a0eefcff,65826,1779346545627,1,2026-05-21 14:55:45,REST,PLAY,NONE,0.707,142.03,0.306,177.67,-14.4,-28.0,51170,0
2026-05-21 14:55:43,a0eefcff,71855,1779346551656,1,2026-05-21 14:55:51,PLAY,PLAY,SHAKE,1.065,354.32,0.72,98.55,40.8,-102.2,3010,0
2026-05-21 14:55:46,a0eefcff,74854,1779346554654,1,2026-05-21 14:55:54,PLAY,PLAY,SHAKE,1.922,386.84,0.87,130.39,-4.0,117.3,6010,0
2026-05-21 14:55:50,a0eefcff,77857,1779346557657,1,2026-05-21 14:55:57,PLAY,RUN,NONE,1.948,91.65,0.804,73.8,-1.0,-2.3,9020,0
2026-05-21 14:55:55,a0eefcff,83875,1779346563676,1,2026-05-21 14:56:03,PLAY,RUN,NONE,0.671,88.33,0.696,42.93,12.0,-14.8,15040,0
2026-05-21 14:56:02,a0eefcff,89895,1779346569696,1,2026-05-21 14:56:09,PLAY,RUN,NONE,1.116,62.54,0.372,112.61,8.3,-37.4,21060,0
2026-05-21 14:56:08,a0eefcff,95924,1779346575724,1,2026-05-21 14:56:15,PLAY,PLAY,JUMP,2.485,212.38,0.637,84.59,3.5,-53.5,27080,0
2026-05-21 14:56:11,a0eefcff,98934,1779346578734,1,2026-05-21 14:56:18,PLAY,TROT,SCRATCH,0.94,133.91,0.136,48.57,-6.0,-20.5,30090,0
2026-05-21 14:56:14,a0eefcff,101945,1779346581746,1,2026-05-21 14:56:21,PLAY,PLAY,SCRATCH,0.955,133.89,0.142,88.63,1.8,-23.6,33100,0
2026-05-21 14:56:17,a0eefcff,104945,1779346584746,1,2026-05-21 14:56:24,PLAY,TROT,SCRATCH,0.976,144.39,0.145,89.87,20.1,-50.7,36100,0
2026-05-21 14:56:20,a0eefcff,107943,1779346587744,1,2026-05-21 14:56:27,PLAY,PLAY,SCRATCH,0.994,2.51,0.17,157.41,-0.7,3.0,39100,0
2026-05-21 14:56:23,a0eefcff,110946,1779346590747,1,2026-05-21 14:56:30,PLAY,REST,NONE,0.994,2.39,0.0,0.05,-0.9,3.2,42110,0
2026-05-21 14:56:53,a0eefcff,141047,1779346620847,1,2026-05-21 14:57:00,REST,REST,NONE,0.994,2.41,0.0,0.05,-0.6,2.8,24080,30100
2026-05-21 14:57:23,a0eefcff,171147,1779346650948,1,2026-05-21 14:57:30,REST,REST,NONE,0.995,2.47,0.0,0.05,-0.6,2.7,54180,60200
2026-05-21 14:57:53,a0eefcff,201235,1779346681036,1,2026-05-21 14:58:01,REST,REST,NONE,0.995,2.42,0.001,0.04,-0.6,2.6,84270,90290
2026-05-21 14:58:23,a0eefcff,231335,1779346711136,1,2026-05-21 14:58:31,REST,REST,NONE,0.995,2.48,0.001,0.04,-0.6,2.7,114370,120390
2026-05-21 14:58:53,a0eefcff,261435,1779346741236,1,2026-05-21 14:59:01,REST,REST,NONE,0.995,2.39,0.001,0.05,-0.7,2.8,144470,150490
2026-05-21 14:59:23,a0eefcff,291542,1779346771342,1,2026-05-21 14:59:31,REST,REST,NONE,0.994,2.36,0.0,0.05,-0.6,2.6,174570,180590
2026-05-21 14:59:53,a0eefcff,321637,1779346801437,1,2026-05-21 15:00:01,REST,REST,NONE,0.994,2.49,0.001,0.04,-0.7,2.8,204670,210690
2026-05-21 15:00:23,a0eefcff,351737,1779346831538,1,2026-05-21 15:00:31,REST,REST,NONE,0.995,2.58,0.001,0.12,-0.5,2.4,234770,240790
2026-05-21 15:00:54,a0eefcff,381825,1779346861626,1,2026-05-21 15:01:01,REST,REST,NONE,0.994,2.43,0.0,0.04,-0.8,2.5,264860,270880
2026-05-21 15:01:24,a0eefcff,411925,1779346891726,1,2026-05-21 15:01:31,REST,SLEEP,NONE,0.994,2.37,0.0,0.05,-0.8,2.8,294960,300980
2026-05-21 15:01:54,a0eefcff,442025,1779346921826,1,2026-05-21 15:02:01,SLEEP,SLEEP,NONE,0.995,2.37,0.0,0.05,-0.6,2.6,24080,331080
2026-05-21 15:02:24,a0eefcff,472132,1779346951932,1,2026-05-21 15:02:31,SLEEP,SLEEP,NONE,0.995,2.43,0.0,0.05,-0.6,2.5,54180,361180
2026-05-21 15:02:54,a0eefcff,502227,1779346982028,1,2026-05-21 15:03:02,SLEEP,SLEEP,NONE,0.994,2.33,0.0,0.06,-0.8,2.6,84280,391280
2026-05-21 15:03:24,a0eefcff,532327,1779347012128,1,2026-05-21 15:03:32,SLEEP,SLEEP,NONE,0.995,2.45,0.0,0.04,-0.7,2.3,114380,421380
2026-05-21 15:03:54,a0eefcff,562415,1779347042216,1,2026-05-21 15:04:02,SLEEP,SLEEP,NONE,0.994,2.38,0.001,0.04,-0.8,2.4,144470,451470
