boot_id,time_ms,epoch_ms,time_valid,time_str,event,state,candidate,acc,gyro,acc_std,gyro_std,pitch,roll,state_duration_ms,rest_like_ms
a0eefcff,17666,1779346497466,1,"2026-05-21 14:54:57",SCRATCH,REST,WALK,0.991,1.96,0.061,83.19,-1.1,-1.5,3010,0
a0eefcff,59805,1779346539606,1,"2026-05-21 14:55:39",SHAKE,REST,RUN,2.936,374.51,0.252,78.12,18.4,35.7,45150,0
a0eefcff,62815,1779346542616,1,"2026-05-21 14:55:42",SHAKE,REST,PLAY,1.151,543.34,0.865,161.91,9.2,6.2,48160,0
a0eefcff,71845,1779346551646,1,"2026-05-21 14:55:51",SHAKE,PLAY,PLAY,1.065,354.32,0.720,98.55,40.8,-102.2,3010,0
a0eefcff,74845,1779346554646,1,"2026-05-21 14:55:54",SHAKE,PLAY,PLAY,1.922,386.84,0.870,130.39,-4.0,117.3,6010,0
a0eefcff,95915,1779346575716,1,"2026-05-21 14:56:15",JUMP,PLAY,PLAY,2.485,212.38,0.637,84.59,3.5,-53.5,27080,0
a0eefcff,98925,1779346578726,1,"2026-05-21 14:56:18",SCRATCH,PLAY,TROT,0.940,133.91,0.136,48.57,-6.0,-20.5,30090,0
a0eefcff,101935,1779346581736,1,"2026-05-21 14:56:21",SCRATCH,PLAY,PLAY,0.955,133.89,0.142,88.63,1.8,-23.6,33100,0
a0eefcff,104937,1779346584737,1,"2026-05-21 14:56:24",SCRATCH,PLAY,TROT,0.976,144.39,0.145,89.87,20.1,-50.7,36100,0
a0eefcff,107935,1779346587736,1,"2026-05-21 14:56:27",SCRATCH,PLAY,PLAY,0.994,2.51,0.170,157.41,-0.7,3.0,39100,0
