boot_id,time_ms,epoch_ms,time_valid,time_str,state,candidate,event,acc,gyro,acc_std,gyro_std,pitch,roll,state_duration_ms,rest_like_ms
a0eefcff,189249,1779346669050,1,"2026-05-21 14:57:49",REST,REST,NONE,0.995,2.49,0.000,0.04,-0.7,2.7,72240,78260
a0eefcff,192196,1779346671997,1,"2026-05-21 14:57:51",REST,REST,NONE,0.994,2.50,0.000,0.04,-0.6,2.7,75240,81260
a0eefcff,195207,1779346675007,1,"2026-05-21 14:57:55",REST,REST,NONE,0.994,2.45,0.001,0.04,-0.5,2.7,78250,84270
a0eefcff,198216,1779346678017,1,"2026-05-21 14:57:58",REST,REST,NONE,0.994,2.42,0.001,0.03,-0.7,2.8,81260,87280
a0eefcff,201226,1779346681027,1,"2026-05-21 14:58:01",REST,REST,NONE,0.995,2.42,0.001,0.04,-0.6,2.6,84270,90290
a0eefcff,204237,1779346684038,1,"2026-05-21 14:58:04",REST,REST,NONE,0.995,2.37,0.001,0.04,-0.7,2.7,87280,93300
a0eefcff,207246,1779346687047,1,"2026-05-21 14:58:07",REST,REST,NONE,0.994,2.46,0.000,0.04,-0.6,2.6,90290,96310
a0eefcff,210257,1779346690058,1,"2026-05-21 14:58:10",REST,REST,NONE,0.994,2.47,0.000,0.04,-0.6,2.6,93300,99320
a0eefcff,213266,1779346693067,1,"2026-05-21 14:58:13",REST,REST,NONE,0.995,2.39,0.000,0.04,-0.6,2.7,96310,102330
a0eefcff,216277,1779346696077,1,"2026-05-21 14:58:16",REST,REST,NONE,0.995,2.49,0.000,0.04,-0.6,2.7,99320,105340
a0eefcff,219287,1779346699087,1,"2026-05-21 14:58:19",REST,REST,NONE,0.995,2.42,0.001,0.05,-0.6,2.4,102330,108350
a0eefcff,222296,1779346702097,1,"2026-05-21 14:58:22",REST,REST,NONE,0.995,2.44,0.001,0.04,-0.6,2.7,105340,111360
a0eefcff,225307,1779346705107,1,"2026-05-21 14:58:25",REST,REST,NONE,0.994,2.38,0.001,0.04,-0.6,2.6,108350,114370
a0eefcff,228316,1779346708117,1,"2026-05-21 14:58:28",REST,REST,NONE,0.995,2.49,0.001,0.05,-0.6,2.7,111360,117380
a0eefcff,231326,1779346711127,1,"2026-05-21 14:58:31",REST,REST,NONE,0.995,2.48,0.001,0.04,-0.6,2.7,114370,120390
a0eefcff,234336,1779346714137,1,"2026-05-21 14:58:34",REST,REST,NONE,0.994,2.49,0.001,0.04,-0.7,2.7,117380,123400
a0eefcff,237346,1779346717147,1,"2026-05-21 14:58:37",REST,REST,NONE,0.994,2.47,0.000,0.04,-0.7,2.7,120390,126410
a0eefcff,240357,1779346720158,1,"2026-05-21 14:58:40",REST,REST,NONE,0.995,2.52,0.000,0.04,-0.6,2.6,123400,129420
a0eefcff,243366,1779346723167,1,"2026-05-21 14:58:43",REST,REST,NONE,0.995,2.52,0.001,0.04,-0.5,2.6,126410,132430
a0eefcff,246376,1779346726177,1,"2026-05-21 14:58:46",REST,REST,NONE,0.994,2.46,0.001,0.04,-0.6,2.6,129420,135440
a0eefcff,249387,1779346729187,1,"2026-05-21 14:58:49",REST,REST,NONE,0.994,2.40,0.001,0.04,-0.7,2.6,132430,138450
